Header Row Count,3,Header Row Count,name,type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
row number #1,row number #2,row number #3,row number #4,date #1,date #2,date #3,date # 4,date # 5,date # 6,date # 7,date # 8,day of week #1,day of week #2,day of week #3,day of week #4,short string #1,short string #2,short string #3,short string #4,short string #5,short string #6,short string #7,short string #8,gender #1,gender #2,gender #3,gender #4,ss #1,ss #2,url #1,url #2,y or n #1,y or n #2,y or n #3,y or n #4,short int #1,short int #2,short int #3,short int #4,short int #5,short int #6,short int #7,short int #8,short int #9,short int #10,short int #11,short int #12,long string #1,long string #2,long string #3,long string #4,long string #5,long string #6,long string #7,long string #8,float #1,float #2,float #3,float #4,float #5,float #6,float #7,float #8
10,10,100010,Record # :010,1/10/13,11/12/13,12/13/13,1/10/13,11/12/13,12/13/13,2/28/13,1/10/13,Thursday,Thu,BadDay,bad,AAAA,JJJJ,QQQQ,1234,jjjj,qqqq,A--A,jjjj,f,f,friend,very bad,333-22-444,333-22-4444,http://www.wirelessgeneration.com,http://www.wirelessgeneration.com,n,n,n,never,10,10,1010,1010,1243,2435,4356,13567,12354,23546,35467,54678,the cat sat on the mat,    this has four leading space characters,this has four trailing spaces    ,    this has four leading and four trailing spaces    ,this should not be blank, ,Betty Smith,AAAA-JJJJ-QQQQ-1234,0.01,1.009,99.99,10.019,0.01,1.009,0.109,10.019
11,11,100011,Record # :011,1/11/13,11/12/13,11/12/13,1/11/13,11/12/13,11/12/13,1/11/13,1/11/13,Friday,Fri,Friday,Fri,AAAA,KKKK,PPPP,aaaa,kkkk,pppp,AAAA,kkkk,m,b,m,m,333-22-444,22-333-4444,http://www.wirelessgeneration.com,not a URL at all,y,1,y,y,11,11,1011,1011,1244,2445,4456,14567,12355,23556,35567,55678,the cat sat on the mat,    this has four leading space characters,this has four trailing spaces    ,    this has four leading and four trailing spaces    ,this should not be blank,this should not be blank,fred smith,AAAA-KKKK-PPPP-aaaa,0.011,1.01,1.01,10.02,0.011,1.01,0.11,10.02
12,12,100012,Record # :012,1/12/13,11/12/13,11/12/13,1/12/13,11/12/13,11/12/13,1/12/13,1/12/13,Saturday,Sat,Saturday,Sat,AAAA,LLLL,OOOO,aaaa,llll,oooo,AAAA,llll,f,g,f,f,333-22-444,333-22-4444,http://www.wirelessgeneration.com,http://www.wirelessgeneration.com,n,0,y,n,12,12,1012,1012,1245,2455,4556,15567,12356,23566,35667,56678,the cat sat on the mat,    this has four leading space characters,this has four trailing spaces    ,    this has four leading and four trailing spaces    ,this should not be blank,this should not be blank,Fred Smith,AAAA-LLLL-OOOO-aaaa,0.012,1.011,1.011,10.021,0.012,1.011,0.111,10.021
13,13,100013,Record # :013,1/13/13,11/12/13,11/12/13,1/13/13,11/12/13,11/12/13,1/13/13,1/13/13,Sunday,Sun,Sunday,Sun,AAAA,MMMM,NNNN,aaaa,mmmm,nnnn,AAAA,mmmm,m,m,b,b,333-22-444,333-22-4444,http://www.wirelessgeneration.com,http://www.wirelessgeneration.com,y,y,yes,y,13,13,1013,1013,1246,2465,4656,16567,12357,23576,35767,57678,the cat sat on the mat,    this has four leading space characters,this has four trailing spaces    ,    this has four leading and four trailing spaces    ,this should not be blank,this should not be blank,fred j smith,AAAA-MMMM-NNNN-aaaa,0.013,1.012,1.012,10.022,0.013,1.012,0.112,10.022
14,14,100014,Record # :014,1/14/13,11/12/13,11/12/13,1/14/13,11/12/13,11/12/13,1/14/13,1/14/13,Monday,Mon,Monday,Mon,AAAA,NNNN,MMMM,aaaa,nnnn,mmmm,AAAA,nnnn,f,f,g,g,333-22-444,333-22-4444,http://www.wirelessgeneration.com,http://www.wirelessgeneration.com,n,n,no,n,14,14,1014,1014,1247,2475,4756,17567,12358,23586,35867,58678,the cat sat on the mat,    this has four leading space characters,this has four trailing spaces    ,    this has four leading and four trailing spaces    ,this should not be blank,this should not be blank,Fred J. Smith,AAAA-NNNN-MMMM-aaaa,0.014,1.013,1.013,10.023,0.014,1.013,0.113,10.023
15,15,100015,Record # :015,1/15/13,11/12/13,11/12/13,1/15/13,11/12/13,11/12/13,1/15/13,1/15/13,Tuesday,Tue,Tuesday,Tue,AAAA,OOOO,LLLL,aaaa,oooo,llll,AAAA,oooo,m,b,male,male,333-22-444,333-22-4444,http://www.wirelessgeneration.com,http://www.wirelessgeneration.com,y,1,1,y,15,15,1015,1015,1248,2485,4856,18567,12359,23596,35967,59678,the cat sat on the mat,    this has four leading space characters,this has four trailing spaces    ,    this has four leading and four trailing spaces    ,this should not be blank,this should not be blank,Fred Smith III,AAAA-OOOO-LLLL-aaaa,0.015,1.014,1.014,10.024,0.015,1.014,0.114,10.024
16,16,100016,Record # :016,1/16/13,11/12/13,11/12/13,1/16/13,11/12/13,11/12/13,1/16/13,1/16/13,Wednesday,Wed,Wednesday,Wed,AAAA,PPPP,KKKK,aaaa,pppp,kkkk,AAAA,pppp,f,g,female,female,333-22-444,333-22-4444,http://www.wirelessgeneration.com,http://www.wirelessgeneration.com,n,0,0,n,16,16,1016,1016,1249,2495,4956,19567,12360,23606,36067,60678,the cat sat on the mat,    this has four leading space characters,this has four trailing spaces    ,    this has four leading and four trailing spaces    ,this should not be blank,this should not be blank,Sir Fred Smith,AAAA-PPPP-KKKK-aaaa,0.016,1.015,1.015,10.025,0.016,1.015,0.115,10.025
17,17,100017,Record # :017,1/17/13,11/12/13,11/12/13,1/17/13,11/12/13,11/12/13,1/17/13,1/17/13,Thursday,Thu,Thursday,Thu,AAAA,QQQQ,JJJJ,aaaa,qqqq,jjjj,AAAA,qqqq,m,m,boy,boy,333-22-444,333-22-4444,http://www.wirelessgeneration.com,http://www.wirelessgeneration.com,y,y,y,y,17,17,1017,1017,1250,2505,5056,20567,12361,23616,36167,61678,the cat sat on the mat,    this has four leading space characters,this has four trailing spaces    ,    this has four leading and four trailing spaces    ,this should not be blank,next row has 1 space,Fred Smith Senior,AAAA-QQQQ-JJJJ-aaaa,0.017,1.016,1.016,10.026,0.017,1.016,0.116,10.026
18,18,100018,Record # :018,1/18/13,11/12/13,11/12/13,1/18/13,11/12/13,11/12/13,1/18/13,1/18/13,Friday,Fri,Friday,Fri,AAAA,RRRR,IIII,aaaa,rrrr,iiii,AAAA,rrrr,f,f,girl,girl,333-22-444,333-22-4444,http://www.wirelessgeneration.com,http://www.wirelessgeneration.com,n,n,n,n,18,18,1018,1018,1251,2515,5156,21567,12362,23626,36267,62678,the cat sat on the mat,    this has four leading space characters,this has four trailing spaces    ,    this has four leading and four trailing spaces    ,this should not be blank, ,Fred Smith Junior,AAAA-RRRR-IIII-aaaa,0.018,1.017,1.017,10.027,0.018,1.017,0.117,10.027
19,19,100019,Record # :019,1/19/13,11/12/13,11/12/13,1/19/13,11/12/13,11/12/13,1/19/13,1/19/13,Saturday,Sat,Saturday,Sat,AAAA,SSSS,HHHH,aaaa,ssss,hhhh,AAAA,ssss,m,b,man,man,333-22-444,333-22-4444,http://www.wirelessgeneration.com,http://www.wirelessgeneration.com,y,1,y,y,19,19,1019,1019,1252,2525,5256,22567,12363,23636,36367,63678,the cat sat on the mat,    this has four leading space characters,this has four trailing spaces    ,    this has four leading and four trailing spaces    ,this should not be blank,this should not be blank,Mary Smith,next row is all numbers,0.019,1.018,1.018,10.028,0.019,1.018,0.118,10.028
20,20,100020,Record # :020,1/20/13,11/12/13,12/13/13,1/20/13,11/12/13,12/13/13,1/20/13,1/20/13,Sunday,Sun,BadDay,bad,AAAA,TTTT,GGGG,aaaa,tttt,gggg,AAAA,tttt,f,g,friend,very bad,333-22-444,333-22-4444,http://www.wirelessgeneration.com,http://www.wirelessgeneration.com,n,0,n,x,20,999,1020,9999,1253,2535,5356,23567,12364,23646,36467,64678,the cat sat on the mat,    this has four leading space characters,this has four trailing spaces    ,    this has four leading and four trailing spaces    ,this should not be blank,this should not be blank,Betty Smith,123456789,0.02,1.019,99.99,10.029,0.02,1.019,0.119,10.029
21,21,100021,Record # :021,1/21/13,11/12/13,11/12/13,1/21/13,11/12/13,11/12/13,1/21/13,1/21/13,Monday,Mon,Monday,Mon,AAAA,UUUU,FFFF,aaaa,uuuu,ffff,AAAA,uuuu,m,m,m,m,333-22-444,333-22-4444,http://www.wirelessgeneration.com,http://www.wirelessgeneration.com,y,y,y,y,1,1,1001,1001,1254,2545,5456,24567,12365,23656,36567,65678,the cat sat on the mat,    this has four leading space characters,this has four trailing spaces    ,    this has four leading and four trailing spaces    ,this should not be blank,this should not be blank,fred smith,AAAA-UUUU-FFFF-aaaa,0.021,1.02,1.02,10.03,0.021,1.02,0.12,10.03
22,22,100022,Record # :022,1/22/13,11/12/13,11/12/13,1/22/13,11/12/13,11/12/13,1/22/13,1/22/13,Tuesday,Tue,Tuesday,Tue,AAAA,VVVV,EEEE,aaaa,vvvv,eeee,AAAA,vvvv,f,f,f,f,333-22-444,333-22-4444,http://www.wirelessgeneration.com,http://www.wirelessgeneration.com,n,n,n,n,2,2,1002,1002,1255,2555,5556,25567,12366,23666,36667,66678,the cat sat on the mat,    this has four leading space characters,this has four trailing spaces    ,    this has four leading and four trailing spaces    ,this should not be blank,this should not be blank,Fred Smith,AAAA-VVVV-EEEE-aaaa,0.022,1.021,1.021,10.031,0.022,1.021,0.121,10.031
23,23,100023,Record # :023,1/23/13,11/12/13,11/12/13,1/23/13,11/12/13,11/12/13,1/23/13,1/23/13,Wednesday,Wed,Wednesday,Wed,AAAA,WWWW,DDDD,aaaa,wwww,dddd,AAAA,wwww,m,b,b,b,333-22-444,333-22-4444,http://www.wirelessgeneration.com,http://www.wirelessgeneration.com,y,1,yes,y,3,3,1003,1003,1256,2565,5656,26567,12367,23676,36767,67678,the cat sat on the mat,    this has four leading space characters,this has four trailing spaces    ,    this has four leading and four trailing spaces    ,this should not be blank,this should not be blank,fred j smith,AAAA-WWWW-DDDD-aaaa,0.023,1.022,1.022,10.032,0.023,1.022,0.122,10.032
24,24,100024,Record # :024,1/24/13,11/12/13,11/12/13,1/24/13,11/12/13,11/12/13,1/24/13,1/24/13,Thursday,Thu,Thursday,Thu,AAAA,XXXX,CCCC,aaaa,xxxx,cccc,AAAA,xxxx,f,g,g,g,333-22-444,333-22-4444,http://www.wirelessgeneration.com,http://www.wirelessgeneration.com,n,0,no,n,4,4,1004,1004,1257,2575,5756,27567,12368,23686,36867,68678,the cat sat on the mat,    this has four leading space characters,this has four trailing spaces    ,    this has four leading and four trailing spaces    ,this should not be blank,this should not be blank,Fred J. Smith,AAAA-XXXX-CCCC-aaaa,0.024,1.023,1.023,10.033,0.024,1.023,0.123,10.033
25,25,100025,Record # :025,1/25/13,11/12/13,11/12/13,1/25/13,11/12/13,11/12/13,1/25/13,1/25/13,Friday,Fri,BadDay,Fri,AAAA,YYYY,BBBB,aaaa,yyyy,bbbb,notuc,NOLC,m,m,male,male,333-22-444,333-22-4444,http://www.wirelessgeneration.com,http://www.wirelessgeneration.com,y,y,1,yellow,5,5,1005,1005,1258,2585,5856,28567,12369,23696,36967,69678,the cat sat on the mat,    this has four leading space characters,this has four trailing spaces    ,    this has four leading and four trailing spaces    ,this should not be blank,this should not be blank,Fred Smith III,AAAA-YYYY-BBBB-aaaa,0.025,1.024,1.024,10.034,0.025,1.024,0.124,10.034
26,26,100026,Record # :026,1/26/13,11/12/13,11/12/13,1/26/13,11/12/13,11/12/13,1/26/13,1/26/13,Saturday,Sat,Saturday,Sat,AAAA,AAAA,ZZZZ,aaaa,aaaa,zzzz,AAAA,aaaa,f,f,female,female,333-22-444,333-22-4444,http://www.wirelessgeneration.com,http://www.wirelessgeneration.com,n,n,0,n,6,6,1006,1006,1259,2595,5956,29567,12370,23706,37067,70678,the cat sat on the mat,    this has four leading space characters,this has four trailing spaces    ,    this has four leading and four trailing spaces    ,this should not be blank,this should not be blank,Sir Fred Smith,AAAA-AAAA-ZZZZ-aaaa,0.026,1.025,1.025,10.035,0.026,1.025,0.125,10.035
27,27,100027,Record # :027,1/27/13,11/12/13,11/12/13,1/27/13,11/12/13,11/12/13,1/27/13,1/27/13,Sunday,Sun,Sunday,Sun,AAAA,BBBB,YYYY,aaaa,bbbb,yyyy,AAAA,bbbb,m,b,boy,boy,333-22-444,333-22-4444,http://www.wirelessgeneration.com,http://www.wirelessgeneration.com,y,1,y,y,7,7,1007,1007,1260,2605,6056,30567,12371,23716,37167,71678,the cat sat on the mat,    this has four leading space characters,this has four trailing spaces    ,    this has four leading and four trailing spaces    ,this should not be blank,next row has 2 spaces,Fred Smith Senior,AAAA-BBBB-YYYY-aaaa,0.027,1.026,1.026,10.036,0.027,1.026,0.126,10.036
28,28,100028,Record # :028,1/28/13,11/12/13,11/12/13,1/28/13,11/12/13,11/12/13,1/28/13,1/28/13,Monday,Mon,Monday,Mon,AAAA,CCCC,XXXX,aaaa,cccc,xxxx,AAAA,cccc,f,g,girl,girl,333-22-444,333-22-4444,http://www.wirelessgeneration.com,http://www.wirelessgeneration.com,n,0,n,n,8,8,1008,1008,1261,2615,6156,31567,12372,23726,37267,72678,the cat sat on the mat,    this has four leading space characters,this has four trailing spaces    ,    this has four leading and four trailing spaces    ,this should not be blank,  ,Fred Smith Junior,AAAA-CCCC-XXXX-aaaa,0.028,1.027,1.027,10.037,0.028,1.027,0.127,10.037
29,29,100029,Record # :029,1/29/13,11/12/13,11/12/13,1/29/13,11/12/13,11/12/13,1/29/13,1/29/13,Tuesday,Tue,Tuesday,Tue,AAAA,DDDD,WWWW,aaaa,dddd,wwww,AAAA,dddd,m,m,man,man,333-22-444,333-22-4444,http://www.wirelessgeneration.com,http://www.wirelessgeneration.com,y,y,y,y,9,9,1009,1009,1262,2625,6256,32567,12373,23736,37367,73678,the cat sat on the mat,    this has four leading space characters,this has four trailing spaces    ,    this has four leading and four trailing spaces    ,this should not be blank,this should not be blank,Mary Smith,AAAA-DDDD-WWWW-aaaa,0.029,1.028,1.028,10.038,0.029,1.028,0.128,10.038
30,30,100030,Record # :030,1/30/13,11/12/13,12/13/13,1/30/13,11/12/13,12/13/13,1/30/13,1/30/13,Wednesday,Wed,BadDay,bad,AAAA,EEEE,VVVV,aaaa,eeee,vvvv,AAAA,eeee,f,f,friend,very bad,333-22-444,333-22-4444,http://www.wirelessgeneration.com,http://www.wirelessgeneration.com,n,n,n,x,10,10,1010,1010,1263,2635,6356,33567,12374,23746,37467,74678,the cat sat on the mat,    this has four leading space characters,this has four trailing spaces    ,    this has four leading and four trailing spaces    ,this should not be blank,this should not be blank,Betty Smith,AAAA-EEEE-VVVV-aaaa,0.03,1.029,99.99,10.039,0.03,1.029,0.129,10.039
31,31,100031,Record # :031,1/31/13,11/12/13,11/12/13,1/31/13,11/12/13,11/12/13,1/31/13,1/31/13,Thursday,Thu,Thursday,Thu,AAAA,FFFF,UUUU,aaaa,ffff,uuuu,AAAA,ffff,m,b,m,m,333-22-444,22-333-4444,http://www.wirelessgeneration.com,not a URL at all,y,1,y,y,11,11,1011,1011,1264,2645,6456,34567,12375,23756,37567,75678,the cat sat on the mat,    this has four leading space characters,this has four trailing spaces    ,    this has four leading and four trailing spaces    ,this should not be blank,this should not be blank,fred smith,AAAA-FFFF-UUUU-aaaa,0.031,1.03,1.03,10.04,0.031,1.03,0.13,10.04
32,32,100032,Record # :032,2/1/13,11/12/13,11/12/13,2/1/13,11/12/13,11/12/13,2/1/13,2/1/13,Friday,Fri,Friday,Fri,AAAA,GGGG,TTTT,aaaa,gggg,tttt,AAAA,gggg,f,g,f,f,333-22-444,333-22-4444,http://www.wirelessgeneration.com,http://www.wirelessgeneration.com,n,0,n,n,12,12,1012,1012,1265,2655,6556,35567,12376,23766,37667,76678,the cat sat on the mat,    this has four leading space characters,this has four trailing spaces    ,    this has four leading and four trailing spaces    ,this should not be blank,this should not be blank,Fred Smith,AAAA-GGGG-TTTT-aaaa,0.032,1.031,1.031,10.041,0.032,1.031,0.131,10.041
33,33,100033,Record # :033,2/2/13,11/12/13,11/12/13,2/2/13,11/12/13,11/12/13,2/2/13,2/2/13,Saturday,Sat,Saturday,Sat,AAAA,HHHH,SSSS,aaaa,hhhh,ssss,AAAA,hhhh,m,m,b,b,333-22-444,333-22-4444,http://www.wirelessgeneration.com,http://www.wirelessgeneration.com,y,y,yes,y,13,13,1013,1013,1266,2665,6656,36567,12377,23776,37767,77678,the cat sat on the mat,    this has four leading space characters,this has four trailing spaces    ,    this has four leading and four trailing spaces    ,this should not be blank,this should not be blank,fred j smith,AAAA-HHHH-SSSS-aaaa,0.033,1.032,1.032,10.042,0.033,1.032,0.132,10.042
34,34,100034,Record # :034,2/3/13,11/12/13,11/12/13,2/3/13,11/12/13,11/12/13,2/3/13,2/3/13,Sunday,Sun,Sunday,Sun,AAAA,IIII,RRRR,aaaa,iiii,rrrr,AAAA,iiii,f,f,g,g,333-22-444,333-22-4444,http://www.wirelessgeneration.com,http://www.wirelessgeneration.com,n,n,no,n,14,14,1014,1014,1267,2675,6756,37567,12378,23786,37867,78678,the cat sat on the mat,    this has four leading space characters,this has four trailing spaces    ,    this has four leading and four trailing spaces    ,this should not be blank,this should not be blank,Fred J. Smith,AAAA-IIII-RRRR-aaaa,0.034,1.033,1.033,10.043,0.034,1.033,0.133,10.043
35,35,100035,Record # :035,2/4/13,11/12/13,11/12/13,2/4/13,11/12/13,11/12/13,2/4/13,2/4/13,Monday,Mon,Monday,Mon,AAAA,JJJJ,QQQQ,aaaa,jjjj,qqqq,AAAA,jjjj,m,b,male,male,333-22-444,333-22-4444,http://www.wirelessgeneration.com,http://www.wirelessgeneration.com,y,1,1,y,15,15,1015,1015,1268,2685,6856,38567,12379,23796,37967,79678,the cat sat on the mat,    this has four leading space characters,this has four trailing spaces    ,    this has four leading and four trailing spaces    ,this should not be blank,this should not be blank,Fred Smith III,AAAA-JJJJ-QQQQ-aaaa,0.035,1.034,1.034,10.044,0.035,1.034,0.134,10.044
36,36,100036,Record # :036,2/5/13,11/12/13,11/12/13,2/5/13,11/12/13,11/12/13,2/5/13,2/5/13,Tuesday,Tue,Tuesday,Tue,AAAA,KKKK,PPPP,aaaa,kkkk,pppp,AAAA,kkkk,f,g,female,female,333-22-444,333-22-4444,http://www.wirelessgeneration.com,http://www.wirelessgeneration.com,n,0,0,n,16,16,1016,1016,1269,2695,6956,39567,12380,23806,38067,80678,the cat sat on the mat,    this has four leading space characters,this has four trailing spaces    ,    this has four leading and four trailing spaces    ,this should not be blank,this should not be blank,Sir Fred Smith,AAAA-KKKK-PPPP-aaaa,0.036,1.035,1.035,10.045,0.036,1.035,0.135,10.045
37,37,100037,Record # :037,2/6/13,11/12/13,11/12/13,2/6/13,11/12/13,11/12/13,2/6/13,2/6/13,Wednesday,Wed,Wednesday,Wed,AAAA,LLLL,OOOO,aaaa,llll,oooo,AAAA,llll,m,m,boy,boy,333-22-444,333-22-4444,http://www.wirelessgeneration.com,http://www.wirelessgeneration.com,y,y,y,y,17,17,1017,1017,1270,2705,7056,40567,12381,23816,38167,81678,the cat sat on the mat,    this has four leading space characters,this has four trailing spaces    ,    this has four leading and four trailing spaces    ,this should not be blank,this should not be blank,Fred Smith Senior,AAAA-LLLL-OOOO-aaaa,0.037,1.036,1.036,10.046,0.037,1.036,0.136,10.046
38,38,100038,Record # :038,2/7/13,11/12/13,11/12/13,2/7/13,11/12/13,11/12/13,2/7/13,2/7/13,Thursday,Thu,Thursday,Thu,AAAA,MMMM,NNNN,aaaa,mmmm,nnnn,AAAA,mmmm,f,f,girl,girl,333-22-444,333-22-4444,http://www.wirelessgeneration.com,http://www.wirelessgeneration.com,n,n,n,n,18,18,1018,1018,1271,2715,7156,41567,12382,23826,38267,82678,the cat sat on the mat,    this has four leading space characters,this has four trailing spaces    ,    this has four leading and four trailing spaces    ,this should not be blank,this should not be blank,Fred Smith Junior,AAAA-MMMM-NNNN-aaaa,0.038,1.037,1.037,10.047,0.038,1.037,0.137,10.047
39,39,100039,Record # :039,2/8/13,11/12/13,11/12/13,2/8/13,11/12/13,11/12/13,2/8/13,2/8/13,Friday,Fri,Friday,Fri,AAAA,NNNN,MMMM,aaaa,nnnn,mmmm,AAAA,nnnn,m,b,man,man,333-22-444,333-22-4444,http://www.wirelessgeneration.com,http://www.wirelessgeneration.com,y,1,y,y,19,19,1019,1019,1272,2725,7256,42567,12383,23836,38367,83678,the cat sat on the mat,    this has four leading space characters,this has four trailing spaces    ,    this has four leading and four trailing spaces    ,this should not be blank,this should not be blank,Mary Smith,AAAA-NNNN-MMMM-aaaa,0.039,1.038,1.038,10.048,0.039,1.038,0.138,10.048
